ticker	analysis_period_start	analysis_period_end	evaluation_period_start	evaluation_period_end	incubation_period_start	incubation_period_end	analysis_buy	analysis_sell	analysis_return	analysis_trades	analysis_eval_metric	evaluation_return	evaluation_trades	evaluation_data_good	incubation_return	incubation_trades	incubation_data_good	analysis_avg_trade_duration	current_price_below_lb	percent_below_lb	current_price_below_ub	percent_below_ub	current_price_between_bounds	num_days_below_lb	num_days_below_ub	date_began_below_lb	date_began_below_ub	trend_slope	norm_trend_slope	slope_below_ub	norm_slope_below_ub	slope_below_lb	norm_slope_below_lb	cyclicality	analysis_period_pct_change	compression_ratio	trend_persistence	range_shrink	compression_in_trend	rs_vs_median	rs_z	implied_gain_pct	max_days_simple	exit_by_date_simple	annual_simple_from_avg_duration	profit_score	profit_rank	swing_probability	current_price_below_ub_weight	percent_below_ub_weight	num_days_below_ub_weight	cyclicality_weight	norm_trend_slope_weight	norm_slope_below_ub_weight	recent_eval_weighted_return
AAL	2023-08-03	2025-08-01	2025-08-02	2025-08-02	2025-08-03	2025-08-03	11.57578947368421	11.938421052631579	0.25144729892850126	17	0.1599699072145187	0.0	0	False	0.0	0	False	15.823529411764707	1.0	0.04714922251523147	1.0	0.07609222765948073	0.0	1	7	2025-08-01	2025-07-24	-0.0020549670449633867	-0.00015761567394855856	-0.029627659574468196	-0.002592744305804193			0.0400275142168493	-0.3097622027534419	0.9569620360205282	0.5	1.0471034775914012	-0.522486766642511	-0.28943222384275047	-0.20985255722224883	0.031326725470582906	11.442086478130406	2025-08-13	0.7231058369078696	1.4062483482601673	270.0	high	1.0	0.0	0.0	1	0	1.4	0.0
AAOI	2023-08-03	2025-08-01	2025-08-02	2025-08-02	2025-08-03	2025-08-03	12.892105263157895	14.30051052631579	1.1797295687314153	15	0.7228222714588923	0.0	0	False	0.0	0	False	19.866666666666667	0.0	-0.6700142886303329	0.0	-0.5055406560752156	0.0	0	0			0.0180939753793172	0.0010602304492211404					0.043723129582939384	2.2670713201820942	0.46156037696515567	0.35	1.0632094270461758	0.7582973267794656	2.2874012990927857	0.6581004814424053	0.10924556031843236	39.901940906307416	2025-09-10	2.008486958371179	0.0	1204.0	zero	1.0	0.0	0.0	1	0	1.4	0.0
AAPB	2023-08-03	2025-08-01	2025-08-02	2025-08-02	2025-08-03	2025-08-03	18.500021052631578	21.650647368421055	0.4828526254403933	5	0.1589452373607042	0.0	0	False	0.0	0	False	29.2	0.0	-0.047025835532477474	1.0	0.10533853005003137	1.0	0	3		2025-07-30	0.0013084437712341391	5.322742181304687e-05	-0.6950000000000003	-0.03428712382831772			0.03859526189940938	-0.31603107344632764	0.5085870312759381	0.55	0.9638043552929865	1.0814274965292874	-0.2957010945356362	-0.2119640965663534	0.17030393137532718	62.20351093483825	2025-10-03	2.1302572237958306	0.6511641095287036	637.0	low	1.0	0.0	0.0	1	0	1.4	0.0
AAPD	2023-08-03	2025-08-01	2025-08-02	2025-08-02	2025-08-03	2025-08-03	16.967894736842105	17.187905263157894	0.15985225566038075	22	0.1087313325336007	0.0	0	False	0.0	0	False	9.818181818181818	0.0	-0.05139737584912685	0.0	-0.0379391628507439	0.0	0	0			-0.008813792484852903	-0.0004642134753212658					0.039393524787322956	-0.12890625	0.4417352915109621	0.55	0.8818577111666213	-1.2450895605798598	-0.10857627108930856	-0.14893497276994971	0.012966283073296392	4.735934892521507	2025-08-06	0.4823637390531164	0.0	1204.0	zero	1.0	0.0	0.0	1	0	1.4	0.0
AAPL	2023-08-03	2025-08-01	2025-08-02	2025-08-02	2025-08-03	2025-08-03	196.28157894736842	212.77473684210526	0.27449418094765354	6	0.10640151077641677	0.0	0	False	0.0	0	False	64.33333333333333	0.0	-0.031069757464437506	1.0	0.048853247318636946	1.0	0	0			0.07151588359611707	0.000349771553464652					0.04197904009736319	0.05863890777841707	0.4702989288182426	0.5	0.9402240908549789	1.0631536015963075	0.07896888668910851	-0.08576426805357394	0.08402804778312567	30.691244452786652	2025-09-01	0.4770659759500516	0.6843112244897959	619.0	low	1.0	0.0	0.0	1	0	1.4	0.0
AAPU	2023-08-03	2025-08-01	2025-08-02	2025-08-02	2025-08-03	2025-08-03	22.443157894736842	23.346557894736844	0.26778309927279453	12	0.15182961593560937	0.0	0	False	0.0	0	False	11.0	1.0	0.0602926691993809	1.0	0.09665484329257604	0.0	0	0			0.003329570878449953	0.00011637198447667272					0.03707041897681355	-0.25582215949188425	0.5258511868580859	0.5	0.9573772146787144	0.9508393486519553	-0.2354921805811928	-0.19168397006368174	0.0402528024013884	14.702336077107113	2025-08-16	1.3365760070097374	0.5229591836734694	708.0	very_low	1.0	0.0	0.0	1	0	1.4	0.0
AAXJ	2023-08-03	2025-08-01	2025-08-02	2025-08-02	2025-08-03	2025-08-03	71.32842105263157	73.19263157894737	0.10894811459203613	8	0.051169651622897785	0.0	0	False	0.0	0	False	49.875	0.0	-0.16222956819456358	0.0	-0.13262767319114668	0.0	0	0			0.023829777650973237	0.00033376979498457316					0.024634249155104485	0.21145696332018127	0.4385606758155969	0.5	0.9777464659304982	1.1400930990224867	0.2317869422308727	-0.03429066896782644	0.026135592219828307	9.546025058292289	2025-08-11	0.19139899866250204	0.0	1204.0	zero	1.0	0.0	0.0	1	0	1.4	0.0
ABCL	2023-08-03	2025-08-01	2025-08-02	2025-08-02	2025-08-03	2025-08-03	3.0221052631578944	3.432894736842105	0.5636039764555842	7	0.24407055653517457	0.0	0	False	0.0	0	False	48.57142857142857	0.0	-0.40299547196098945	0.0	-0.23510923725565358	0.0	0	0			-0.003930740914219904	-0.0010666001554561723					0.04025640813432068	-0.39167862266857956	0.41107448693254717	0.5	1.4502051833766036	-1.2163245735122563	-0.3713486437578881	-0.23744440782068277	0.1359282479972137	49.647792580982305	2025-09-20	1.0221604354908123	0.0	1204.0	zero	1.0	0.0	0.0	1	0	1.4	0.0
ABEO	2023-08-03	2025-08-01	2025-08-02	2025-08-02	2025-08-03	2025-08-03	4.372105263157895	4.691389473684211	0.6984547727533383	15	0.4279444024580618	0.0	0	False	0.0	0	False	12.4	0.0	-0.4844107379318647	0.0	-0.3833854631777814	0.0	0	0			0.002209889216038037	0.0004114003672118626					0.0544454757152362	1.0473186119873819	0.9619112294288686	0.6	0.8800161654866863	0.6237581822973912	1.0676485908980733	0.24725202729353918	0.07302756711207414	26.67331888768508	2025-08-28	2.1510741038455707	0.0	1204.0	zero	1.0	0.0	0.0	1	0	1.4	0.0
ABNB	2023-08-03	2025-08-01	2025-08-02	2025-08-02	2025-08-03	2025-08-03	131.27473684210526	140.72473684210527	0.4023144600889843	11	0.2203608993822243	0.0	0	False	0.0	0	False	34.54545454545455	1.0	0.02479332216083572	1.0	0.09028076461326141	0.0	1	3	2025-08-01	2025-07-30	-0.013542812361414542	-9.90330014168129e-05	-3.3649999999999944	-0.025545321119489813			0.052197391033938965	-0.09128336172629181	0.7176920157594281	0.5	0.9386498265093693	-0.6966776681651159	-0.07095338281560037	-0.13626248154773632	0.07198643263224591	26.293044518927818	2025-08-28	0.7611144466005421	1.0233879019233592	410.0	medium	1.0	0.0	0.0	1	0	1.4	0.0
