symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
ESZ5,-2,0,0.25,277707851896,277707851918,2,6775.50,6770.50,$(500.00),10/03/2025 04:32:25,10/03/2025 05:44:23,1h 11min 58sec
ESZ5,-2,0,0.25,277707851938,277707851962,2,6770.00,6775.00,$500.00,10/08/2025 05:45:54,10/08/2025 06:20:11,34min 16sec
ESZ5,-2,0,0.25,277707851977,277707851999,2,6768.25,6773.25,$500.00,10/08/2025 06:36:23,10/08/2025 06:47:37,11min 13sec
ESZ5,-2,0,0.25,277707852014,277707852040,2,6788.25,6793.25,$500.00,10/08/2025 07:45:57,10/08/2025 08:11:32,25min 34sec
ESZ5,-2,0,0.25,277707852131,277707852072,2,6799.00,6800.00,$100.00,10/08/2025 11:32:21,10/08/2025 09:16:01,2h 16min 19sec
ESZ5,-2,0,0.25,277707852187,277707852148,2,6804.50,6808.50,$400.00,10/09/2025 06:33:52,10/09/2025 06:31:42,2min 10sec
ESZ5,-2,0,0.25,277707852354,277707852305,2,6788.75,6788.50,$(25.00),10/09/2025 07:13:19,10/09/2025 07:13:14,4sec
ESZ5,-2,0,0.25,277707852354,277707852267,2,6788.75,6790.50,$175.00,10/09/2025 07:13:19,10/09/2025 07:12:28,50sec
ESZ5,-2,0,0.25,277707852354,277707852233,2,6788.75,6791.50,$275.00,10/09/2025 07:13:19,10/09/2025 07:07:44,5min 34sec
ESZ5,-2,0,0.25,277707852354,277707852199,2,6788.75,6789.50,$75.00,10/09/2025 07:13:19,10/09/2025 07:04:30,8min 48sec
ESZ5,-2,0,0.25,277707852386,277707852439,2,6780.50,6784.25,$375.00,10/09/2025 07:21:22,10/09/2025 07:23:43,2min 20sec
ESZ5,-2,0,0.25,277707852451,277707852515,2,6777.50,6786.00,$850.00,10/09/2025 13:29:30,10/09/2025 15:44:02,2h 14min 32sec
ESZ5,-2,0,0.25,277707852527,277707852569,2,6792.50,6797.50,$500.00,10/10/2025 06:51:30,10/10/2025 06:58:34,7min 3sec
ESZ5,-2,0,0.25,277707852595,277707852657,2,6788.25,6792.25,$400.00,10/10/2025 07:16:10,10/10/2025 07:20:43,4min 32sec
ESZ5,-2,0,0.25,277707852708,277707852717,2,6720.75,6746.50,"$2,575.00",10/10/2025 08:09:49,10/10/2025 08:11:14,1min 25sec
ESZ5,-2,0,0.25,277707852669,277707852717,2,6730.50,6746.50,"$1,600.00",10/10/2025 08:09:05,10/10/2025 08:11:14,2min 8sec
ESZ5,-2,0,0.25,277707852825,277707852839,2,6614.00,6563.50,"$(5,050.00)",10/10/2025 12:35:36,10/10/2025 13:50:44,1h 15min 8sec
ESZ5,-2,0,0.25,277707852789,277707852839,2,6665.00,6563.50,"$(10,150.00)",10/10/2025 08:41:11,10/10/2025 13:50:44,5h 9min 32sec
ESZ5,-2,0,0.25,277707852777,277707852839,2,6706.00,6563.50,"$(14,250.00)",10/10/2025 08:21:17,10/10/2025 13:50:44,5h 29min 27sec
ESZ5,-2,0,0.25,277707852749,277707852839,2,6723.00,6563.50,"$(15,950.00)",10/10/2025 08:18:35,10/10/2025 13:50:44,5h 32min 8sec
ESZ5,-2,0,0.25,277707852730,277707852839,2,6735.75,6563.50,"$(17,225.00)",10/10/2025 08:12:54,10/10/2025 13:50:44,5h 37min 49sec
ESZ5,-2,0,0.25,277707852868,277707852878,2,6682.75,6689.50,$675.00,10/14/2025 09:13:56,10/14/2025 09:18:54,4min 57sec
ESZ5,-2,0,0.25,277707852889,277707852971,1,6717.00,6687.25,"$(1,487.50)",10/14/2025 11:01:28,10/14/2025 12:37:33,1h 36min 4sec
ESZ5,-2,0,0.25,277707852899,277707852982,1,6713.00,6687.00,"$(1,300.00)",10/14/2025 11:04:42,10/14/2025 12:37:34,1h 32min 52sec
ESZ5,-2,0,0.25,277707852941,277707852996,1,6710.75,6674.25,"$(1,825.00)",10/14/2025 11:38:49,10/14/2025 13:26:04,1h 47min 14sec
ESZ5,-2,0,0.25,277707853013,277707853043,1,6759.50,6747.75,$(587.50),10/15/2025 07:12:27,10/15/2025 08:11:32,59min 5sec
ESZ5,-2,0,0.25,277707853058,277707853097,10,6708.25,6722.25,"$7,000.00",10/15/2025 08:54:38,10/15/2025 09:03:11,8min 32sec
ESZ5,-2,0,0.25,277707853109,277707853157,2,6711.50,6721.50,"$1,000.00",10/15/2025 11:46:48,10/15/2025 11:57:45,10min 56sec
ESZ5,-2,0,0.25,277707853135,277707853165,2,6711.50,6721.50,"$1,000.00",10/15/2025 11:46:48,10/15/2025 11:57:45,10min 56sec
ESZ5,-2,0,0.25,277707853285,277707853378,2,6699.25,6713.50,"$1,425.00",10/15/2025 12:54:50,10/15/2025 12:59:05,4min 14sec
ESZ5,-2,0,0.25,277707853247,277707853378,2,6704.75,6713.50,$875.00,10/15/2025 12:37:13,10/15/2025 12:59:05,21min 51sec
ESZ5,-2,0,0.25,277707853213,277707853378,2,6709.50,6713.50,$400.00,10/15/2025 12:35:58,10/15/2025 12:59:05,23min 6sec
ESZ5,-2,0,0.25,277707853183,277707853378,2,6716.00,6713.50,$(250.00),10/15/2025 12:33:24,10/15/2025 12:59:05,25min 40sec
ESZ5,-2,0,0.25,277707853401,277707853423,2,6711.00,6721.00,"$1,000.00",10/15/2025 19:55:02,10/15/2025 23:06:54,3h 11min 51sec
ESZ5,-2,0,0.25,277707853438,277707853504,2,6684.25,6690.25,$600.00,10/16/2025 10:02:35,10/16/2025 10:07:48,5min 12sec
ESZ5,-2,0,0.25,277707853516,277707853547,2,6678.00,6682.25,$425.00,10/16/2025 10:46:25,10/16/2025 10:48:08,1min 42sec
ESZ5,-2,0,0.25,277707853707,277707853770,2,6641.50,6658.25,"$1,675.00",10/16/2025 11:28:56,10/16/2025 11:43:33,14min 37sec
ESZ5,-2,0,0.25,277707853673,277707853770,2,6645.50,6658.25,"$1,275.00",10/16/2025 11:12:28,10/16/2025 11:43:33,31min 5sec
ESZ5,-2,0,0.25,277707853637,277707853770,2,6652.00,6658.25,$625.00,10/16/2025 11:12:02,10/16/2025 11:43:33,31min 30sec
ESZ5,-2,0,0.25,277707853597,277707853770,2,6660.25,6658.25,$(200.00),10/16/2025 11:05:49,10/16/2025 11:43:33,37min 44sec
ESZ5,-2,0,0.25,277707853559,277707853770,2,6668.50,6658.25,"$(1,025.00)",10/16/2025 11:04:19,10/16/2025 11:43:33,39min 14sec
ESZ5,-2,0,0.25,277707853812,277707853790,1,6670.50,6660.25,$(512.50),10/16/2025 12:10:45,10/16/2025 11:49:24,21min 20sec
ESZ5,-2,0,0.25,277707853853,277707853827,1,6652.75,6652.50,$(12.50),10/16/2025 12:40:17,10/16/2025 12:40:17,
ESZ5,-2,0,0.25,277707853893,277707853923,1,6653.25,6669.00,$787.50,10/16/2025 12:40:22,10/16/2025 12:52:30,12min 8sec
ESZ5,-2,0,0.25,277707853938,277707853981,1,6653.00,6659.00,$300.00,10/16/2025 13:14:25,10/16/2025 13:20:47,6min 22sec
ESZ5,-2,0,0.25,277707854152,277707854209,2,6659.75,6670.25,"$1,050.00",10/17/2025 07:56:03,10/17/2025 08:03:18,7min 14sec
ESZ5,-2,0,0.25,277707854089,277707854209,2,6664.75,6670.25,$550.00,10/17/2025 07:37:08,10/17/2025 08:03:18,26min 9sec
ESZ5,-2,0,0.25,277707854042,277707854209,2,6673.25,6670.25,$(300.00),10/17/2025 07:34:45,10/17/2025 08:03:18,28min 32sec
ESZ5,-2,0,0.25,277707853998,277707854209,2,6679.75,6670.25,$(950.00),10/17/2025 07:24:00,10/17/2025 08:03:18,39min 17sec
ESZ5,-2,0,0.25,277707854257,277707854227,2,6682.50,6674.25,$(825.00),10/17/2025 10:35:15,10/17/2025 10:22:50,12min 24sec
ESZ5,-2,0,0.25,277707854294,277707854272,2,6672.00,6682.00,"$1,000.00",10/17/2025 10:43:00,10/17/2025 10:35:31,7min 28sec
ESZ5,-2,0,0.25,277707854331,277707854355,2,6704.25,6694.25,"$(1,000.00)",10/19/2025 16:30:55,10/19/2025 17:23:30,52min 35sec
ESZ5,-2,0,0.25,277707854402,277707854382,2,6734.00,6723.75,"$(1,025.00)",10/20/2025 00:22:06,10/19/2025 20:50:21,3h 31min 44sec
ESZ5,-2,0,0.25,277707854460,277707854417,2,6725.25,6735.25,"$1,000.00",10/20/2025 01:24:38,10/20/2025 00:36:41,47min 57sec
ESZ5,-2,0,0.25,277707854472,277707854494,2,6769.50,6779.50,"$1,000.00",10/20/2025 08:45:50,10/20/2025 10:18:34,1h 32min 43sec
ESZ5,-2,0,0.25,277707854509,277707854564,2,6775.00,6778.00,$300.00,10/20/2025 11:54:46,10/20/2025 13:44:53,1h 50min 6sec
ESZ5,-2,0,0.25,277707854616,277707854581,2,6777.50,6781.00,$350.00,10/20/2025 17:08:28,10/20/2025 16:30:20,38min 7sec
ESZ5,-2,0,0.25,277707854628,277707854686,2,6769.50,6779.50,"$1,000.00",10/20/2025 23:03:24,10/21/2025 07:53:05,8h 49min 41sec
ESZ5,-2,0,0.25,277707854666,277707854694,2,6763.75,6779.50,"$1,575.00",10/21/2025 01:17:19,10/21/2025 07:53:05,6h 35min 46sec
ESZ5,-2,0,0.25,277707854798,277707854750,2,6781.00,6782.25,$125.00,10/21/2025 11:16:19,10/21/2025 11:15:30,48sec
ESZ5,-2,0,0.25,277707854798,277707854724,2,6781.00,6782.50,$150.00,10/21/2025 11:16:19,10/21/2025 11:15:28,50sec
ESZ5,-2,0,0.25,277707854870,277707854848,2,6775.00,6785.00,"$1,000.00",10/22/2025 01:12:52,10/21/2025 22:04:17,3h 8min 35sec
ESZ5,-2,0,0.25,277707854885,277707854932,2,6697.00,6707.25,"$1,025.00",10/22/2025 10:43:34,10/22/2025 11:03:44,20min 10sec
ESZ5,-2,0,0.25,277707854991,277707854944,2,6696.00,6707.75,"$1,175.00",10/22/2025 11:18:21,10/22/2025 11:13:45,4min 35sec
ESZ5,-2,0,0.25,277707855050,277707855003,2,6713.25,6718.50,$525.00,10/22/2025 11:31:18,10/22/2025 11:25:47,5min 31sec
ESZ5,-2,0,0.25,277707855101,277707855062,2,6713.25,6719.75,$650.00,10/22/2025 11:50:24,10/22/2025 11:46:40,3min 43sec
ESZ5,-2,0,0.25,277707855140,277707855122,2,6747.50,6757.50,"$1,000.00",10/23/2025 07:11:22,10/23/2025 06:45:32,25min 50sec
ESZ5,-2,0,0.25,277707855155,277707855249,2,6778.75,6777.00,$(175.00),10/23/2025 12:47:47,10/23/2025 13:59:08,1h 11min 21sec
ESZ5,-2,0,0.25,277707855287,277707855305,2,6790.25,6800.25,"$1,000.00",10/24/2025 00:23:35,10/24/2025 05:30:01,5h 6min 25sec
ESZ5,-2,0,0.25,277707855325,277707855379,2,6909.25,6915.25,$600.00,10/27/2025 19:08:56,10/28/2025 05:11:52,10h 2min 55sec
ESZ5,-2,0,0.25,277707855406,277707855428,1,6913.75,6903.75,$(500.00),10/28/2025 07:58:27,10/28/2025 08:35:37,37min 10sec
ESZ5,-2,0,0.25,277707855538,277707855473,1,6936.50,6941.75,$262.50,10/28/2025 12:38:15,10/28/2025 12:30:07,8min 7sec
ESZ5,-2,0,0.25,277707855538,277707855443,1,6936.50,6936.50,$0.00,10/28/2025 12:38:15,10/28/2025 11:33:07,1h 5min 7sec
ESZ5,-2,0,0.25,277707855578,277707855635,1,6925.75,6929.25,$175.00,10/28/2025 12:50:18,10/28/2025 12:56:20,6min 2sec
ESZ5,-2,0,0.25,277707855556,277707855635,1,6927.75,6929.25,$75.00,10/28/2025 12:50:00,10/28/2025 12:56:20,6min 20sec
ESZ5,-2,0,0.25,277707855654,277707855685,2,6929.50,6934.75,$525.00,10/28/2025 18:29:52,10/28/2025 19:03:51,33min 59sec
ESZ5,-2,0,0.25,277707855731,277707855697,2,6938.25,6945.25,$700.00,10/29/2025 01:39:24,10/29/2025 00:42:50,56min 33sec
ESZ5,-2,0,0.25,277707855746,277707855824,2,6933.25,6935.75,$250.00,10/29/2025 02:13:24,10/29/2025 02:20:33,7min 8sec
ESZ5,-2,0,0.25,277707855872,277707855841,1,6934.00,6939.25,$262.50,10/29/2025 17:37:03,10/29/2025 17:31:46,5min 16sec
ESZ5,-2,0,0.25,277707856021,277707855981,1,6941.00,6952.25,$562.50,10/29/2025 21:05:55,10/29/2025 20:49:08,16min 47sec
ESZ5,-2,0,0.25,277707856021,277707855943,1,6941.00,6945.00,$200.00,10/29/2025 21:05:55,10/29/2025 19:15:42,1h 50min 13sec
ESZ5,-2,0,0.25,277707856021,277707855901,1,6941.00,6936.75,$(212.50),10/29/2025 21:05:55,10/29/2025 18:52:38,2h 13min 16sec
ESZ5,-2,0,0.25,277707856037,277707856084,2,6907.50,6910.50,$300.00,10/29/2025 21:24:06,10/29/2025 21:26:47,2min 41sec
ESZ5,-2,0,0.25,277707856096,277707856147,1,6914.75,6919.75,$250.00,10/29/2025 21:59:05,10/29/2025 22:07:17,8min 11sec
ESZ5,-2,0,0.25,277707856159,277707856198,1,6919.25,6924.50,$262.50,10/29/2025 23:16:27,10/29/2025 23:49:40,33min 12sec
